# TOTAL_GENES = 13445
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE              TYPE  NGENES         BETA     BETA_STD           SE            P
Astrocyte            COVAR   13445    -0.050728      -0.0128     0.060826      0.79785
EndothelialCells     COVAR   13445    -0.037463    -0.011424     0.044484      0.80015
Ependymocytes        COVAR   13445    -0.066357    -0.023799     0.040456      0.94951
Fibroblast           COVAR   13445     -0.26527    -0.055803     0.069419      0.99993
MuralCells           COVAR   13445    -0.092494    -0.026024     0.052297      0.96151
Neurons1             COVAR   13445     0.057032     0.032114      0.03689     0.061065
Neurons2             COVAR   13445      0.14946      0.04476      0.07817     0.027954
Neurons3             COVAR   13445     0.012127    0.0045669     0.058563      0.41798
Neurons4             COVAR   13445     0.041753     0.016519     0.054019      0.21979
Neurons5             COVAR   13445      0.12235     0.044581     0.056815     0.015652
Neurons6             COVAR   13445     0.070624      0.02673      0.05954      0.11779
NG2_OPC              COVAR   13445     0.091084     0.021096     0.079038      0.12459
Oligodend1           COVAR   13445     0.069768     0.022692     0.055403      0.10398
Oligodend2           COVAR   13445     0.088927     0.035958     0.036977    0.0080945
Oligodend3           COVAR   13445     0.095129     0.029576      0.04827     0.024385
ParsTuber1           COVAR   13445     -0.01794    -0.007683     0.047935      0.64589
ParsTuber2           COVAR   13445     0.019833    0.0058952     0.069264      0.38731
PVMMicro             COVAR   13445    0.0034311   0.00073912     0.056773      0.47591
Tanycyte1            COVAR   13445     -0.16422    -0.047337     0.067757      0.99231
Tanycyte2            COVAR   13445     -0.22989     -0.05873     0.077504      0.99849
