# MEAN_SAMPLE_SIZE = 15539
# TOTAL_GENES = 17668
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                 TYPE  NGENES         BETA     BETA_STD           SE            P
Astro_CPAMD8            COVAR   17668    0.0014612      0.00235    0.0086684      0.43307
Astro_LGR6              COVAR   17668     0.009956     0.017582    0.0079015      0.10384
LGN_Exc_BTNL9           COVAR   17668   -0.0084322    -0.020276     0.010395      0.79137
LGN_Exc_PRKCG_BCHE      COVAR   17668     -0.01051    -0.025057     0.010316      0.84584
LGN_Exc_PRKCG_GRB14     COVAR   17668  -0.00064178   -0.0015183    0.0099408      0.52574
LGN_Inh_CTXN3           COVAR   17668   0.00055636    0.0012408     0.011048      0.47992
LGN_Inh_LAMP5           COVAR   17668     -0.01445    -0.031537    0.0086429      0.95271
LGN_Inh_NTRK1           COVAR   17668    -0.014773    -0.034275     0.010386      0.92255
LGN_Inh_TRPC4           COVAR   17668    0.0055093     0.012168     0.012084      0.32422
Micro_C1QB              COVAR   17668   -0.0042346   -0.0054072    0.0090911      0.67932
Oligo_MAG               COVAR   17668    0.0029076    0.0050439    0.0079341      0.35701
OPC_PDGFRA              COVAR   17668     0.024009     0.039225    0.0095996    0.0061968
