Dataset	Cell_type	MODEL	NGENES	BETA	BETA_STD	SE	P	CDM.BETA	CDM.BETA_STD	CDM.SE	CDM.P	Marginal.P	PS
DropViz_all_level1	SN.Neuron	1	14974	0.0062754	0.016467	0.022466	0.78	0.064249	0.1686	0.016921	0.00014712	1.2489e-09	0.0281566163750903
DropViz_all_level2	SN.Neuron_Th_Grin2c.4_9	1	14974	0.046105	0.12645	0.01176	8.8831e-05	0.048267	0.13238	0.0088532	5.0639e-08	5.3368e-10	0.55533235363863
DropViz_all_level1	SN.Neuron	2	14974	0.048502	0.12727	0.01192	4.7475e-05	0.039316	0.10317	0.0070899	2.9849e-08	1.2489e-09	0.574550788714649
DropViz_CB_level1	Neuron	2	14974	-0.010879	-0.02939	0.011349	0.33777	0.026243	0.070892	0.006754	0.00010257	2.7357e-07	0.118170301219624
DropViz_all_level1	SN.Neuron	3	14974	0.091174	0.23925	0.017533	2.0179e-07	0.040977	0.10753	0.0068897	2.7848e-09	1.2489e-09	0.78257617264962
DropViz_ENT_level1	Neuron	3	14974	-0.052764	-0.13809	0.016948	0.0018533	0.028282	0.074016	0.0066637	2.2078e-05	2.4132e-06	0.586776341106924
DropViz_all_level1	SN.Neuron	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.2489e-09	NA
DropViz_FC_level1	Neuron	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.9474e-06	NA
DropViz_all_level1	SN.Neuron	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.2489e-09	NA
DropViz_GP_level1	Neuron	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.182e-07	NA
DropViz_all_level1	SN.Neuron	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.2489e-09	NA
DropViz_HC_level1	Neuron	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.4467e-06	NA
DropViz_all_level1	SN.Neuron	7	14974	0.049418	0.12968	0.013407	0.00022858	NA	NA	NA	NA	1.2489e-09	0.408937281419498
DropViz_PC_level1	Neuron	7	14974	-0.012882	-0.034645	0.014375	0.37017	NA	NA	NA	NA	7.539e-06	0.0842524330839196
DropViz_all_level1	SN.Neuron	8	NA	NA	NA	NA	NA	0.042089	0.11044	0.0069261	1.2568e-09	1.2489e-09	NA
DropViz_SN_level1	Neuron	8	NA	NA	NA	NA	NA	0.042089	0.11044	0.0069261	1.2568e-09	2.8375e-09	NA
DropViz_all_level1	SN.Neuron	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.2489e-09	NA
DropViz_SN_level2	Neuron_Th_Grin2c.4_9	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.4691e-08	NA
