# MEAN_SAMPLE_SIZE = 39955
# TOTAL_GENES = 14974
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                              TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Neuron_Chat-Gad1Gad2-Slc17a8...2     COVAR   14974     0.018893     0.051726    0.0084565     0.012744 Neuron_Chat-Gad1Gad2-Slc17a8_Ngfr.1_1
Neuron_Chat-Gad1Gad2-Slc17a8...1     COVAR   14974    0.0069047     0.019509    0.0074691      0.17764 Neuron_Chat-Gad1Gad2-Slc17a8_Nefm.1_2
Oligodendrocyte_Trf_Mbp.10_1         COVAR   14974   0.00059382    0.0015679    0.0080264      0.47051 Oligodendrocyte_Trf_Mbp.10_1
Oligodendrocyte_Trf_Klk6.10_2        COVAR   14974   -0.0031716   -0.0084623    0.0072316      0.66951 Oligodendrocyte_Trf_Klk6.10_2
Oligodendrocyte_Trf_Ttyh1.10...      COVAR   14974    0.0027785    0.0074155    0.0074413      0.35443 Oligodendrocyte_Trf_Ttyh1.10_3
Oligodendrocyte_Trf_Ctps.10_4        COVAR   14974   -0.0025427   -0.0069517     0.006371      0.65509 Oligodendrocyte_Trf_Ctps.10_4
Oligodendrocyte_Trf_Il33.10_5        COVAR   14974   0.00035711    0.0009493    0.0077454      0.48161 Oligodendrocyte_Trf_Il33.10_5
Oligodendrocyte_Trf_Kif5b.10...      COVAR   14974    -0.003408   -0.0090043     0.007745      0.67004 Oligodendrocyte_Trf_Kif5b.10_6
Microglia_C1qb_Tmem119.11_1          COVAR   14974   -0.0044023    -0.012315    0.0051057      0.80571 Microglia_C1qb_Tmem119.11_1
Macrophage_C1qb_Mrc1.11_2            COVAR   14974   -0.0012813   -0.0036151    0.0048662      0.60384 Macrophage_C1qb_Mrc1.11_2
Neuron_Gad1Gad2_Tac1.2_1             COVAR   14974   -0.0018454   -0.0052666    0.0072908      0.59991 Neuron_Gad1Gad2_Tac1.2_1
Neuron_Gad1Gad2_Cadm2.2_10           COVAR   14974     0.009182     0.026506    0.0055152     0.047984 Neuron_Gad1Gad2_Cadm2.2_10
Neuron_Slc17a7_Neurod2-Rorb....      COVAR   14974     0.014609     0.040945    0.0072993     0.022681 Neuron_Slc17a7_Neurod2-Rorb.2_11
Neuron_Slc17a7_Neurod2-C1ql3...      COVAR   14974     0.013379     0.038096    0.0064068     0.018394 Neuron_Slc17a7_Neurod2-C1ql3.2_12
Neuron_Gad1Gad2_Grem.2_13            COVAR   14974     0.022572      0.06162    0.0093328    0.0077967 Neuron_Gad1Gad2_Grem.2_13
Neuron_Gad1Gad2_Scn4b.2_14           COVAR   14974     0.024226     0.064673    0.0085929    0.0024097 Neuron_Gad1Gad2_Scn4b.2_14
Neuron_Gad1Gad2_Fibcd1.2_15          COVAR   14974     0.032452     0.086298    0.0099628   0.00056365 Neuron_Gad1Gad2_Fibcd1.2_15
Neuron_Gad1Gad2_Trdn.2_16            COVAR   14974      0.01325     0.035917    0.0087965     0.066008 Neuron_Gad1Gad2_Trdn.2_16
Neuron_Gad1Gad2_Elfn1-Grik3....      COVAR   14974     0.021447     0.058851    0.0088024    0.0074221 Neuron_Gad1Gad2_Elfn1-Grik3.2_17
Neuron_Gad1Gad2_Pappa.2_18           COVAR   14974     0.022649     0.062705    0.0084208    0.0035805 Neuron_Gad1Gad2_Pappa.2_18
Neuron_Gad1Gad2_Cyp26b1.2_19         COVAR   14974     0.029912     0.081601    0.0099919    0.0013809 Neuron_Gad1Gad2_Cyp26b1.2_19
Neuron_Slc17a6_Cck.2_2               COVAR   14974      0.01367      0.03746    0.0082858     0.049505 Neuron_Slc17a6_Cck.2_2
Neuron_Gad1Gad2_Six3-Pvalb.2...      COVAR   14974     0.015561     0.043369    0.0080988     0.027354 Neuron_Gad1Gad2_Six3-Pvalb.2_20
Neuron_Gad1Gad2_Vip.2_21             COVAR   14974     0.014446     0.040735    0.0077809      0.03169 Neuron_Gad1Gad2_Vip.2_21
Neuron_Gad1Gad2_Lamp5-Cplx3....      COVAR   14974    0.0044299      0.01384    0.0045494       0.1651 Neuron_Gad1Gad2_Lamp5-Cplx3.2_22
