# MEAN_SAMPLE_SIZE = 15539
# TOTAL_GENES = 17668
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                      TYPE  NGENES         BETA     BETA_STD           SE            P
Astro_L1.2_FGFR3_GFAP        COVAR   17668    0.0072862     0.011314    0.0078352      0.17621
Astro_L1.6_FGFR3_SLC14A1     COVAR   17668     0.013011     0.022752    0.0072593     0.036552
Endo_L2.6_NOSTRIN            COVAR   17668      0.01224      0.01703    0.0076833     0.055577
Exc_L2_LAMP5_LTK             COVAR   17668    -0.019888    -0.042637     0.012494      0.94427
Exc_L2.3_LINC00507_FREM3     COVAR   17668   -0.0073143     -0.01688     0.013096      0.71175
Exc_L2.4_LINC00507_GLP2R     COVAR   17668    -0.023945    -0.052453     0.013211      0.96504
Exc_L3.4_RORB_CARM1P1        COVAR   17668    0.0090051     0.020992     0.012483      0.23534
Exc_L3.5_RORB_COL22A1        COVAR   17668   -0.0083358    -0.017472      0.01226      0.75171
Exc_L3.5_RORB_ESR1           COVAR   17668      -0.0129    -0.027561     0.013486       0.8306
Exc_L3.5_RORB_FILIP1L        COVAR   17668    0.0071294     0.015846     0.013274       0.2956
Exc_L3.5_RORB_TWIST2         COVAR   17668   -0.0070821    -0.015103     0.012776      0.71032
Exc_L4.5_FEZF2_SCN4B         COVAR   17668   -0.0082076      -0.0197      0.01032      0.78678
Exc_L4.5_RORB_DAPK2          COVAR   17668   -0.0037355   -0.0080785     0.013735      0.60717
Exc_L4.5_RORB_FOLH1B         COVAR   17668    -0.010613     -0.02496      0.01267      0.79887
Exc_L4.6_FEZF2_IL26          COVAR   17668   -0.0083446    -0.018521     0.012107      0.75466
Exc_L4.6_RORB_C1R            COVAR   17668     -0.01508    -0.033368     0.012958      0.87773
Exc_L4.6_RORB_SEMA3E         COVAR   17668    -0.022675    -0.049667     0.014421      0.94206
Exc_L5.6_FEZF2_ABO           COVAR   17668   -0.0067327    -0.015488     0.011907      0.71411
Exc_L5.6_FEZF2_EFTUD1P1      COVAR   17668    -0.012186    -0.028531     0.011785      0.84944
Exc_L5.6_RORB_TTC12          COVAR   17668   -0.0055649    -0.012967     0.012369      0.67361
Exc_L5.6_SLC17A7_IL15        COVAR   17668    0.0021124    0.0048024     0.011723       0.4285
