# MEAN_SAMPLE_SIZE = 36692
# TOTAL_GENES = 14940
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                        TYPE  NGENES         BETA     BETA_STD           SE            P
Astro_Aqp4                     COVAR   14940    0.0078892     0.015405    0.0061582      0.10009
CR_Lhx5                        COVAR   14940   -0.0045934   -0.0094816    0.0072565      0.73663
Endo_Ctla2a                    COVAR   14940   -0.0052193   -0.0095767    0.0060398      0.80624
Endo_Cytl1                     COVAR   14940    0.0047242     0.010659    0.0045823      0.15129
L2.3_IT_ALM_Macc1_Lrg1         COVAR   14940    0.0064272     0.018157     0.010693       0.2739
L2.3_IT_ALM_Ptrf               COVAR   14940  -0.00082592   -0.0023196     0.010485      0.53139
L2.3_IT_ALM_Sla                COVAR   14940   0.00037977    0.0010712      0.01054      0.48563
L2.3_IT_VISp_Adamts2           COVAR   14940    -0.018137    -0.052158    0.0066932      0.99663
L2.3_IT_VISp_Agmat             COVAR   14940    0.0030263    0.0083616    0.0089607      0.36779
L2.3_IT_VISp_Rrad              COVAR   14940    -0.015621    -0.046468    0.0063692       0.9929
L4_IT_VISp_Rspo1               COVAR   14940    0.0023462    0.0065898    0.0064964      0.35899
L5_IT_ALM_Cbln4_Fezf2          COVAR   14940      0.01263     0.035357     0.011982      0.14594
L5_IT_ALM_Cpa6_Gpr88           COVAR   14940    0.0070841      0.02001     0.011699      0.27243
L5_IT_ALM_Gkn1_Pcdh19          COVAR   14940    0.0074687     0.021099     0.010976      0.24812
L5_IT_ALM_Lypd1_Gpr88          COVAR   14940     0.018083     0.050559     0.011264     0.054212
L5_IT_ALM_Npw                  COVAR   14940    0.0084086     0.023635     0.010985        0.222
L5_IT_ALM_Pld5                 COVAR   14940      0.01357     0.037791     0.011767      0.12441
L5_IT_ALM_Tmem163_Arhgap25     COVAR   14940     0.016131     0.045648     0.010959     0.070519
L5_IT_ALM_Tmem163_Dmrtb1       COVAR   14940     0.014558     0.041137     0.010724      0.08731
L5_IT_ALM_Tnc                  COVAR   14940     0.014077     0.039521     0.011126       0.1029
L5_IT_VISp_Batf3               COVAR   14940    -0.016239    -0.046133      0.00908      0.96313
L5_IT_VISp_Col27a1             COVAR   14940    0.0017963    0.0051234    0.0098481      0.42764
L5_IT_VISp_Col6a1_Fezf2        COVAR   14940   -0.0077036     -0.02281    0.0069292      0.86687
L5_IT_VISp_Whrn_Tox2           COVAR   14940    0.0045437     0.013671    0.0065166      0.24283
L5_NP_ALM_Trhr_Nefl            COVAR   14940   -0.0020857   -0.0056918     0.012018      0.56889
L5_NP_VISp_Trhr_Cpne7          COVAR   14940    -0.011076    -0.030486    0.0080939      0.91439
L5_NP_VISp_Trhr_Met            COVAR   14940   -0.0082723    -0.024472    0.0035613       0.9899
L5_PT_ALM_Hpgd                 COVAR   14940      0.01671     0.046712     0.011231     0.068412
L5_PT_ALM_Npsr1                COVAR   14940     0.012606     0.035436      0.01092      0.12417
L5_PT_ALM_Slco2a1              COVAR   14940     0.015616     0.043323      0.01104     0.078607
L6_CT_ALM_Cpa6                 COVAR   14940    -0.021771    -0.060345     0.012076      0.96428
