# TOTAL_GENES = 14016
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE      TYPE  NGENES         BETA     BETA_STD           SE            P
NF1          COVAR   14016     0.024281     0.057071     0.015006     0.052834
NF2          COVAR   14016     0.042061     0.097843     0.016628    0.0057164
NF3          COVAR   14016        0.032     0.080965     0.011566    0.0028346
NF4          COVAR   14016   -0.0075899    -0.015841     0.013778      0.70914
NF5          COVAR   14016     0.016574     0.038416     0.012113     0.085619
NP1          COVAR   14016    -0.022606    -0.045049     0.014871      0.93575
NP2          COVAR   14016    -0.019988    -0.036974     0.014752      0.91226
NP3          COVAR   14016   -0.0096135    -0.018993     0.011152      0.80565
PEP1         COVAR   14016    -0.028618    -0.040421     0.018617      0.93787
PEP2         COVAR   14016    -0.014412     -0.03149     0.014801       0.8349
TH           COVAR   14016     -0.03189     -0.06181     0.016736      0.97163
