# MEAN_SAMPLE_SIZE = 15506
# TOTAL_GENES = 14723
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE      TYPE  NGENES         BETA     BETA_STD           SE            P
DA0          COVAR   14723     0.092706     0.030734     0.093472      0.16066
DA1          COVAR   14723     0.069471     0.028902     0.075267      0.17801
DA2          COVAR   14723      0.10897     0.043411     0.075281     0.073882
Endo         COVAR   14723    -0.027213    -0.012007     0.036296      0.77329
Epen         COVAR   14723    0.0011502   0.00049348     0.032858      0.48604
Gaba1a       COVAR   14723     -0.13239    -0.054736     0.076017       0.9592
Gaba1b       COVAR   14723     0.014954    0.0062411     0.082057       0.4277
Gaba2        COVAR   14723      0.14225     0.087558     0.052059    0.0031464
Mgl          COVAR   14723     0.036713     0.016188     0.036611      0.15799
NbDA         COVAR   14723      0.15658     0.049707      0.10394     0.065993
NbL1         COVAR   14723     0.099827      0.04602     0.062982     0.056495
NbL2         COVAR   14723      0.16261     0.066208     0.051851   0.00085805
NbM          COVAR   14723    -0.059734     -0.01917     0.081017      0.76952
NbML1        COVAR   14723    -0.086252    -0.031915     0.093577      0.82166
NbML2        COVAR   14723     -0.18313    -0.056098      0.10805      0.95494
NbML3        COVAR   14723     0.030388     0.015433     0.067234      0.32565
NbML4        COVAR   14723     0.017158    0.0092646     0.060747       0.3888
NbML5        COVAR   14723     -0.12382    -0.038226      0.11298      0.86343
NProg        COVAR   14723     -0.12222    -0.049888     0.051963      0.99066
OMTN         COVAR   14723      0.04569     0.025447     0.065205      0.24174
Peric        COVAR   14723     -0.11061    -0.040914     0.049771      0.98686
Rgl1         COVAR   14723     -0.16373    -0.069183     0.053124      0.99897
Rgl2         COVAR   14723     -0.10104     -0.04322      0.05405      0.96921
Rgl3         COVAR   14723     -0.13537    -0.056464     0.048734      0.99726
RN           COVAR   14723      0.10758     0.058945     0.065415     0.050043
Sert         COVAR   14723     0.027756     0.014856     0.062434      0.32832
