Index PThresh FE EmpPval NAnnotThesh NAnnot NThresh N Annotation Celltype Tissue Type Category
0 0.1 1.5693 -1 4840 15716 27352 139377 blueprint_mono_K27AC_log2rpm_fdr0.05 mono aceQTL blueprint1 blueprint
0 0.01 2.49804 -1 1405 15716 4988 139377 blueprint_mono_K27AC_log2rpm_fdr0.05 mono aceQTL blueprint1 blueprint
0 0.001 3.36288 -1 565 15716 1490 139377 blueprint_mono_K27AC_log2rpm_fdr0.05 mono aceQTL blueprint1 blueprint
0 0.0001 3.74853 -1 287 15716 679 139377 blueprint_mono_K27AC_log2rpm_fdr0.05 mono aceQTL blueprint1 blueprint
0 1e-05 3.95152 0 176 15716 395 139377 blueprint_mono_K27AC_log2rpm_fdr0.05 mono aceQTL blueprint1 blueprint
0 1e-06 4.03113 0 125 15716 275 139377 blueprint_mono_K27AC_log2rpm_fdr0.05 mono aceQTL blueprint1 blueprint
0 1e-07 4.15996 0 91 15716 194 139377 blueprint_mono_K27AC_log2rpm_fdr0.05 mono aceQTL blueprint1 blueprint
0 1e-08 3.83672 1e-05 61 15716 141 139377 blueprint_mono_K27AC_log2rpm_fdr0.05 mono aceQTL blueprint1 blueprint
1 0.1 1.48888 -1 8026 27469 27352 139377 blueprint_mono_K4ME1_log2rpm_fdr0.05 mono aceQTL blueprint1 blueprint
1 0.01 2.15145 -1 2115 27469 4988 139377 blueprint_mono_K4ME1_log2rpm_fdr0.05 mono aceQTL blueprint1 blueprint
1 0.001 2.63234 -1 773 27469 1490 139377 blueprint_mono_K4ME1_log2rpm_fdr0.05 mono aceQTL blueprint1 blueprint
1 0.0001 2.98909 -1 400 27469 679 139377 blueprint_mono_K4ME1_log2rpm_fdr0.05 mono aceQTL blueprint1 blueprint
1 1e-05 3.12146 0 243 27469 395 139377 blueprint_mono_K4ME1_log2rpm_fdr0.05 mono aceQTL blueprint1 blueprint
1 1e-06 3.09974 0 168 27469 275 139377 blueprint_mono_K4ME1_log2rpm_fdr0.05 mono aceQTL blueprint1 blueprint
1 1e-07 3.08623 0 118 27469 194 139377 blueprint_mono_K4ME1_log2rpm_fdr0.05 mono aceQTL blueprint1 blueprint
1 1e-08 3.09476 0 86 27469 141 139377 blueprint_mono_K4ME1_log2rpm_fdr0.05 mono aceQTL blueprint1 blueprint
2 0.1 1.60159 -1 4564 14521 27352 139377 blueprint_mono_gene_nor_combat_fdr0.05 mono eQTL blueprint1 blueprint
2 0.01 2.67282 -1 1389 14521 4988 139377 blueprint_mono_gene_nor_combat_fdr0.05 mono eQTL blueprint1 blueprint
2 0.001 3.71049 -1 576 14521 1490 139377 blueprint_mono_gene_nor_combat_fdr0.05 mono eQTL blueprint1 blueprint
2 0.0001 4.35387 -1 308 14521 679 139377 blueprint_mono_gene_nor_combat_fdr0.05 mono eQTL blueprint1 blueprint
2 1e-05 4.42251 0 182 14521 395 139377 blueprint_mono_gene_nor_combat_fdr0.05 mono eQTL blueprint1 blueprint
2 1e-06 4.43267 0 127 14521 275 139377 blueprint_mono_gene_nor_combat_fdr0.05 mono eQTL blueprint1 blueprint
2 1e-07 4.35387 0 88 14521 194 139377 blueprint_mono_gene_nor_combat_fdr0.05 mono eQTL blueprint1 blueprint
2 1e-08 4.42475 0 65 14521 141 139377 blueprint_mono_gene_nor_combat_fdr0.05 mono eQTL blueprint1 blueprint
3 0.1 1.40878 -1 11423 41318 27352 139377 blueprint_mono_meth_M_fdr0.05 mono mQTL blueprint1 blueprint
3 0.01 1.90981 -1 2824 41318 4988 139377 blueprint_mono_meth_M_fdr0.05 mono mQTL blueprint1 blueprint
3 0.001 2.31828 -1 1024 41318 1490 139377 blueprint_mono_meth_M_fdr0.05 mono mQTL blueprint1 blueprint
3 0.0001 2.57343 -1 518 41318 679 139377 blueprint_mono_meth_M_fdr0.05 mono mQTL blueprint1 blueprint
3 1e-05 2.66446 0 312 41318 395 139377 blueprint_mono_meth_M_fdr0.05 mono mQTL blueprint1 blueprint
3 1e-06 2.69862 0 220 41318 275 139377 blueprint_mono_meth_M_fdr0.05 mono mQTL blueprint1 blueprint
3 1e-07 2.72992 0 157 41318 194 139377 blueprint_mono_meth_M_fdr0.05 mono mQTL blueprint1 blueprint
3 1e-08 2.7991 0 117 41318 141 139377 blueprint_mono_meth_M_fdr0.05 mono mQTL blueprint1 blueprint
4 0.1 1.78177 -1 1142 3266 27352 139377 blueprint_mono_psi_fdr0.05 mono psiQTL blueprint1 blueprint
4 0.01 3.48211 -1 407 3266 4988 139377 blueprint_mono_psi_fdr0.05 mono psiQTL blueprint1 blueprint
4 0.001 5.81413 -1 203 3266 1490 139377 blueprint_mono_psi_fdr0.05 mono psiQTL blueprint1 blueprint
