Trait1,Trait2,Trait1_code,Trait2_code,corr
parkinsons disease,parkinsons disease,HC206,HC206,1
Parkinson's disease,Parkinson's disease,FH1262,FH1262,1
parkinsons disease,fracture patella/knee,HC206,HC293,0.860661552929503
parkinsons disease,alcoholic liver disease/alcoholic cirrhosis,HC206,HC171,0.855706722209719
parkinsons disease,pneumothorax,HC206,HC216,0.849407657290594
parkinsons disease,sclerosing cholangitis,HC206,HC417,0.848955770894418
parkinsons disease,bile duct obstruction/ascending cholangitis,HC206,HC44,0.846564180390787
parkinsons disease,finasteride,HC206,MED1140868550,0.844180211880189
parkinsons disease,fracture finger,HC206,HC240,0.84270520345479
parkinsons disease,fracture pelvis,HC206,HC223,0.841221308771414
parkinsons disease,movicol oral powder,HC206,MED1140925800,0.840428324069055
parkinsons disease,connective tissue disorder,HC206,HC136,0.833905887980919
parkinsons disease,salamol 100micrograms inhaler,HC206,MED1140862086,0.831984515844622
parkinsons disease,beclazone 50 inhaler,HC206,MED1140862476,0.828426427523232
parkinsons disease,6mm regularity index (left),HC206,INI5162,0.824223535070102
parkinsons disease,fracture thumb,HC206,HC296,0.821375190717711
parkinsons disease,arthrotec tablet,HC206,MED1140871266,0.820541178170548
parkinsons disease,livial 2.5mg tablet,HC206,MED1140882946,0.819237791233511
parkinsons disease,respiratory failure,HC206,HC423,0.817184868063754
parkinsons disease,peripheral neuropathy,HC206,HC280,0.808494668686578
parkinsons disease,thiamine preparation,HC206,MED1140888366,0.805136260901832
parkinsons disease,breast cysts,HC206,HC139,0.804528005301816
parkinsons disease,muscle/soft tissue problem,HC206,HC123,0.803340891917807
parkinsons disease,nifedipine,HC206,MED1140861088,0.800391007178979
parkinsons disease,other respiratory problems,HC206,HC370,0.797515274846971
parkinsons disease,Surgery on leg arteries (other than for varicose veins),HC206,BIN5529,0.796302652549282
parkinsons disease,tinnitus/tiniitis,HC206,HC116,0.795432889015159
parkinsons disease,multivitamins capsule,HC206,MED1140909766,0.795418499388023
parkinsons disease,fluticasone,HC206,MED1140888098,0.793316573041433
parkinsons disease,Median T2star in hippocampus (right),HC206,INI25035,0.793246622294987
parkinsons disease,nasal/sinus disorder,HC206,HC263,0.792856168941661
