# MEAN_SAMPLE_SIZE = 1474097
# TOTAL_GENES = 17229
# CONDITIONED_COVAR = Average
# CONDITIONED_INTERNAL = genesize, log_genesize, genedensity, log_genedensity, inverse_mac, log_inverse_mac
COVAR                      OBS_GENES       BETA   BETA_STD         SE            P
Adipose_Tissue                 17229    -0.0402      -0.12     0.0218      0.96718
Adrenal_Gland                  17229     0.0334     0.0951     0.0148      0.01189
Bladder                        17229    -0.0117    -0.0354     0.0233      0.69221
Blood                          17229    0.00438      0.011    0.00829      0.29862
Blood_Vessel                   17229     -0.025    -0.0759     0.0184        0.913
Brain                          17229     0.0525       0.14    0.00915   4.8498e-09
Breast                         17229    -0.0423     -0.126     0.0281      0.93349
Cervix_Uteri                   17229   -0.00797    -0.0242     0.0267      0.61723
Colon                          17229    -0.0413     -0.118     0.0271      0.93605
Esophagus                      17229    -0.0143    -0.0409     0.0306      0.67968
Fallopian_Tube                 17229    -0.0384     -0.116     0.0233      0.95041
Heart                          17229    -0.0214    -0.0533      0.013      0.94973
Kidney                         17229    -0.0123    -0.0326     0.0139      0.81291
Liver                          17229   -0.00932    -0.0239     0.0086      0.86076
Lung                           17229    -0.0137    -0.0416     0.0162      0.80211
Muscle                         17229    0.00533     0.0141    0.00906      0.27813
Nerve                          17229    0.00202     0.0063     0.0161      0.45005
Ovary                          17229    0.00163    0.00498     0.0151      0.45694
Pancreas                       17229   -0.00952    -0.0232     0.0119      0.78867
Pituitary                      17229     0.0512      0.149     0.0117   5.7446e-06
Prostate                       17229    -0.0296    -0.0877     0.0233      0.89796
Salivary_Gland                 17229   -0.00549    -0.0157     0.0167      0.62914
Skin                           17229     0.0122     0.0355     0.0154      0.21477
Small_Intestine                17229    -0.0386      -0.11     0.0152      0.99442
Spleen                         17229   -0.00473    -0.0142      0.011      0.66688
Stomach                        17229     -0.025    -0.0685     0.0212      0.88029
Testis                         17229     0.0161     0.0477    0.00761     0.017443
Thyroid                        17229    -0.0121    -0.0372     0.0167      0.76563
Uterus                         17229    -0.0283    -0.0878     0.0194       0.9281
Vagina                         17229   -0.00446    -0.0133     0.0207      0.58515
