Sheet,Trait1,Trait2,corr,Reference,Source,Dataset
Bryois2020,parkinsons_disease,parkinsons_disease,1,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 4,
Bryois2020,parkinsons_disease,intracranial_volume,0.2851,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 4,
Bryois2020,parkinsons_disease,amyotrophic_lateral_sclerosis,0.1884,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 4,
Bryois2020,parkinsons_disease,anorexia,0.09,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 4,
Bryois2020,parkinsons_disease,alzheimers_disease,0.0776,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 4,
Bryois2020,parkinsons_disease,hippocampal_volume,0.0573,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 4,
Bryois2020,parkinsons_disease,educational_attainment,0.046,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 4,
Bryois2020,parkinsons_disease,intelligence,0.0448,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 4,
Bryois2020,parkinsons_disease,waist_to_hip_ratio_adjusted_for_bmi,0.0325,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 4,
Bryois2020,parkinsons_disease,bipolar,0.0244,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 4,
Bryois2020,parkinsons_disease,stroke,0.0197,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 4,
Bryois2020,parkinsons_disease,major_depressive_disorder,0.0189,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 4,
Bryois2020,parkinsons_disease,age_at_menopause,0.0171,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 4,
Bryois2020,parkinsons_disease,height,0.0161,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 4,
Bryois2020,parkinsons_disease,schizophrenia,0.0071,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 4,
Bryois2020,parkinsons_disease,coronary_artery_disease,-0.0082,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 4,
Bryois2020,parkinsons_disease,type_2_diabetes,-0.0223,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 4,
Bryois2020,parkinsons_disease,age_at_menarche,-0.0262,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 4,
Bryois2020,parkinsons_disease,type_2_diabetes_adjusted_for_bmi,-0.0322,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 4,
Bryois2020,parkinsons_disease,bmi,-0.0429,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 4,
Bryois2020,parkinsons_disease,adhd,-0.0444,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 4,
Bryois2020,parkinsons_disease,inflammatory_bowel_disease,-0.0534,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 4,
Bryois2020,parkinsons_disease,migraine,-0.0631,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 4,
Bryois2020,parkinsons_disease,neuroticism,-0.0644,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 4,
Bryois2020,parkinsons_disease,autism,-0.072,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 4,
Bryois2020,parkinsons_disease,hemoglobin_a1c,-0.1002,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 4,
Nalls2019,parkinsons_disease,diagnoses_main_icd10_b37_candidiasis,0.3822,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,icv,0.3511,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,cancer_code_self_reported_small_intestine_small...,0.2971,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,mean_accumbens,0.277,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,underlying_primary_cause_of_death_icd10_j84_1_o...,0.2696,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,gcsf_sumstats_gz,0.2636,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,diagnoses_main_icd10_c61_malignant_neoplasm_of_...,0.2512,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,mean_putamen,0.2481,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,number_of_older_siblings,0.247,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,mean_pallidum,0.2332,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
Nalls2019,parkinsons_disease,mean_thalamus,0.2258,"Nalls et al, 2019 (Lancet Neurology)",Supplementary Table 10,
